Task Name,Task Description,Start Date,Due Date,Priority,Status,Assignee,List Name,Tags
[Dev 1] Organization Hierarchy Master Data,"Implement Company, Division, Department, Position, and Employee Level CRUD APIs and UI pages.",2026-09-14,2026-09-16,High,TO DO,Dev 1,Track A: Workforce & Time Ops (Dev 1),"dev1,masterdata,backend,frontend"
[Dev 1] Work Week & Company Holidays Master Data,"Implement Work Week rules, Company Holidays calendar, and Commercial Banks master data.",2026-09-17,2026-09-21,Normal,TO DO,Dev 1,Track A: Workforce & Time Ops (Dev 1),"dev1,masterdata,fullstack"
[Dev 1] Work Shifts Setup & Cross-Day Grace Periods,"Develop Work Shift management with overnight cross-day logic and grace period rules.",2026-09-22,2026-09-25,High,TO DO,Dev 1,Track A: Workforce & Time Ops (Dev 1),"dev1,timeops,backend"
[Dev 1] Work Schedules & Employee Shift Assignments,"Create Work Schedule engine and Employee Shift assignments with GIST zero-overlap date checks.",2026-09-28,2026-09-30,High,TO DO,Dev 1,Track A: Workforce & Time Ops (Dev 1),"dev1,timeops,database"
[Dev 1] Attendance Engine & Daily Calculations,"Build daily attendance calculation service (late, early departure, overtime, missing clock-in).",2026-10-01,2026-10-05,Urgent,TO DO,Dev 1,Track A: Workforce & Time Ops (Dev 1),"dev1,timeops,backend"
[Dev 1] Biometric & Excel Batch Attendance Import,"Implement Excel/Biometric file import batch, SHA-256 hash deduplication, and error log tracking.",2026-10-06,2026-10-09,High,TO DO,Dev 1,Track A: Workforce & Time Ops (Dev 1),"dev1,batch,fullstack"
[Dev 1] Attendance Adjustment & Trigger Sync,"Build Attendance Adjustment submission and trigger auto-recalculation upon approval.",2026-10-12,2026-10-15,High,TO DO,Dev 1,Track A: Workforce & Time Ops (Dev 1),"dev1,timeops,workflow"
[Dev 1] ESS Clock-in Portal & Adjustment Form,"Develop Employee Self-Service Clock-in overview dashboard and adjustment request form.",2026-10-16,2026-10-19,Normal,TO DO,Dev 1,Track A: Workforce & Time Ops (Dev 1),"dev1,ess,frontend"
[Dev 1] Headcount & Attendance Operational Reports,"Implement Daily Department Headcount Snapshot and Monthly Attendance & Lateness Report.",2026-10-20,2026-10-22,Normal,TO DO,Dev 1,Track A: Workforce & Time Ops (Dev 1),"dev1,reports,fullstack"
[Dev 2] Setup Employee Models & AES-256 Crypto Provider,"Implement AES-256 encryption helper for citizen_id and social_security_no, and EF Core entity mappings.",2026-09-14,2026-09-16,High,TO DO,Dev 2,Track B: Talent & Compensation (Dev 2),"dev2,security,backend"
[Dev 2] Backend API for Employee Profile CRUD,"Develop GET, POST, PUT API endpoints for Employee Management with Data Scoping (SELF/TEAM/DEPT/ORG).",2026-09-17,2026-09-21,High,TO DO,Dev 2,Track B: Talent & Compensation (Dev 2),"dev2,backend,api"
[Dev 2] Frontend UI - Employee Directory & Detail View,"Build Next.js pages for Employee list, search filters, and tabbed detail view (Personal, Family, Docs).",2026-09-22,2026-09-23,High,TO DO,Dev 2,Track B: Talent & Compensation (Dev 2),"dev2,frontend,ui"
[Dev 2] Employment Contracts & Lifecycle Management,"Implement contract CRUD, GIST zero-overlap temporal range validation, and status history timeline.",2026-09-24,2026-09-25,Normal,TO DO,Dev 2,Track B: Talent & Compensation (Dev 2),"dev2,fullstack"
[Dev 2] Leave Types & Leave Policy Setup,"Develop APIs and UI for Leave Types and Policy Rules Engine (probation rules, carry-forward limits).",2026-09-28,2026-09-30,High,TO DO,Dev 2,Track B: Talent & Compensation (Dev 2),"dev2,leave,fullstack"
[Dev 2] Leave Balance Ledger & Transactions,"Integrate PostgreSQL stored procedures for leave balance initialization, usage tracking, and ledger history.",2026-10-01,2026-10-05,High,TO DO,Dev 2,Track B: Talent & Compensation (Dev 2),"dev2,leave,database"
[Dev 2] Leave Request & Approval Flow Integration,"Build Leave submission API with medical cert upload, approval workflow triggers, and cancellation reversal.",2026-10-06,2026-10-09,High,TO DO,Dev 2,Track B: Talent & Compensation (Dev 2),"dev2,leave,approval"
[Dev 2] Salary Structure & Tax Bracket Configuration,"Configure progressive tax brackets, social security rates, and employee salary history with GIST temporal checks.",2026-10-12,2026-10-14,High,TO DO,Dev 2,Track B: Talent & Compensation (Dev 2),"dev2,payroll,backend"
[Dev 2] Payroll Calculation Engine & Processing,"Build automated monthly payroll processing service (Earnings, Deductions, Progressive Tax, SSO).",2026-10-15,2026-10-19,Urgent,TO DO,Dev 2,Track B: Talent & Compensation (Dev 2),"dev2,payroll,backend"
[Dev 2] Password-Protected Payslip PDF & Bank Export,"Implement PDF Payslip generator encrypted with user password and commercial bank payment export file.",2026-10-20,2026-10-21,High,TO DO,Dev 2,Track B: Talent & Compensation (Dev 2),"dev2,payroll,security"
[Dev 2] ESS Profile & Leave Portal,"Build ESS UI for employees to view personal profile, check leave balances, and apply for leaves.",2026-10-22,2026-10-22,Normal,TO DO,Dev 2,Track B: Talent & Compensation (Dev 2),"dev2,ess,frontend"
[Dev 2] HR Financial & Analytics Reports,"Implement Monthly Turnover Rate report and Payroll Tax Withholding summary report.",2026-10-23,2026-10-23,Normal,TO DO,Dev 2,Track B: Talent & Compensation (Dev 2),"dev2,reports,fullstack"
[Joint] End-to-End System Integration & UAT,"Joint integration testing between Workforce Time Ops and Leave/Payroll modules, UAT bug fixes.",2026-10-23,2026-10-23,High,TO DO,Dev 1 & Dev 2,Shared Foundation & Deployment,"joint,testing,uat"
